id_lote,n_px_total,NDRE_mean,NDRE_std,NDRE_p25,NDRE_p50,NDRE_p75,NDRE_npx,CIre_mean,CIre_std,CIre_p25,CIre_p50,CIre_p75,CIre_npx,PRI_mean,PRI_std,PRI_p25,PRI_p50,PRI_p75,PRI_npx,NDWI_mean,NDWI_std,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_npx,WBI_mean,WBI_std,WBI_p25,WBI_p50,WBI_p75,WBI_npx,MCARI_mean,MCARI_std,MCARI_p25,MCARI_p50,MCARI_p75,MCARI_npx,mNDVI705_mean,mNDVI705_std,mNDVI705_p25,mNDVI705_p50,mNDVI705_p75,mNDVI705_npx,NDVI_mean,NDVI_std,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_npx,SIPI_mean,SIPI_std,SIPI_p25,SIPI_p50,SIPI_p75,SIPI_npx,TCARI_OSAVI_mean,TCARI_OSAVI_std,TCARI_OSAVI_p25,TCARI_OSAVI_p50,TCARI_OSAVI_p75,TCARI_OSAVI_npx,Datt1_mean,Datt1_std,Datt1_p25,Datt1_p50,Datt1_p75,Datt1_npx,REIP_mean,REIP_std,REIP_p25,REIP_p50,REIP_p75,REIP_npx
A1,2125,0.7379323244094849,0.027465958148241043,0.7345048785209656,0.7471516728401184,0.7520078420639038,2125,2.603501796722412,0.21652600169181824,2.5548126697540283,2.683318853378296,2.7404403686523438,2125,-0.03527405485510826,0.023641841486096382,-0.049094509333372116,-0.03364454582333565,-0.020391633734107018,2125,0.12617185711860657,0.016246045008301735,0.12417691946029663,0.13292968273162842,0.13606585562229156,2125,1.148813247680664,0.013301048427820206,1.1450068950653076,1.1541086435317993,1.157231330871582,2125,0.20259766280651093,0.051342811435461044,0.16841763257980347,0.19760538637638092,0.23175053298473358,2125,0.750194251537323,0.026777034625411034,0.7453587651252747,0.7578490972518921,0.7646881341934204,2125,0.9646319150924683,0.01996833272278309,0.9613930583000183,0.9687533378601074,0.9731120467185974,2125,1.0126417875289917,0.010782306082546711,1.008154273033142,1.010986089706421,1.014572024345398,2125,0.13930028676986694,0.007945728488266468,0.13446128368377686,0.1388588696718216,0.14386896789073944,2125,0.8173311352729797,0.012167708948254585,0.8151497840881348,0.8214130401611328,0.8244501352310181,2125,723.9000244140625,0.5144276022911072,723.7582397460938,724.06689453125,724.2328491210938,2125
A2,1026,0.7009930610656738,0.018898416310548782,0.6894038915634155,0.7004777193069458,0.7120116353034973,1026,2.2268385887145996,0.18023425340652466,2.116245985031128,2.206643581390381,2.317455291748047,1026,-0.04594764858484268,0.02072586677968502,-0.05937386304140091,-0.04562358558177948,-0.03170022368431091,1026,0.10750848799943924,0.01623581349849701,0.09691794961690903,0.10531048476696014,0.11814529448747635,1026,1.134373664855957,0.011896640993654728,1.1274693012237549,1.1329412460327148,1.14179265499115,1026,0.18334825336933136,0.03496324643492699,0.1619289666414261,0.17907938361167908,0.2014927864074707,1026,0.712661623954773,0.019949844107031822,0.6998871564865112,0.7111602425575256,0.7250399589538574,1026,0.9489921927452087,0.011430169455707073,0.9421348571777344,0.9494411945343018,0.9571202397346497,1026,1.0213645696640015,0.007320678327232599,1.0161712169647217,1.0222898721694946,1.0265382528305054,1026,0.15828067064285278,0.00810557696968317,0.15405312180519104,0.15807905793190002,0.16285715997219086,1026,0.794809877872467,0.011173814535140991,0.7888283133506775,0.7940858602523804,0.8000810146331787,1026,723.0542602539062,0.45785951614379883,722.8054809570312,723.022705078125,723.2532958984375,1026
A3,3291,0.7408877611160278,0.028354234993457794,0.7105498313903809,0.7503646612167358,0.766413688659668,3291,3.3020756244659424,0.753747820854187,2.3104944229125977,3.679699420928955,3.959951639175415,3291,-0.05663525313138962,0.02855774387717247,-0.07488624006509781,-0.05456550046801567,-0.03608469292521477,3291,0.10348226130008698,0.017988301813602448,0.09649616479873657,0.10381283611059189,0.11865153908729553,3291,1.1399863958358765,0.011693865060806274,1.1358826160430908,1.1431676149368286,1.147189736366272,3291,0.11612500250339508,0.06873732060194016,0.06520624458789825,0.07791879028081894,0.178847074508667,3291,0.7578492164611816,0.026882484555244446,0.7308516502380371,0.769137978553772,0.7795045375823975,3291,0.9479859471321106,0.014032384380698204,0.9432250261306763,0.9503428936004639,0.9556743502616882,3291,1.0188959836959839,0.007017194293439388,1.0139776468276978,1.0190222263336182,1.0234758853912354,3291,0.12279989570379257,0.033519331365823746,0.0972810760140419,0.10297287255525589,0.16428673267364502,3291,0.8475200533866882,0.03601117432117462,0.7988184094429016,0.8700763583183289,0.8759161233901978,3291,726.1157836914062,2.0471112728118896,723.3695068359375,727.3480834960938,727.7818603515625,3291
A4,1207,0.7149789929389954,0.011988531798124313,0.7125470638275146,0.7179588675498962,0.7215842604637146,1207,2.3191258907318115,0.093308225274086,2.2960734367370605,2.337156057357788,2.3732705116271973,1207,-0.03841695189476013,0.018339524045586586,-0.049983829259872437,-0.03827832639217377,-0.025972571223974228,1207,0.1203615814447403,0.009510383009910583,0.1178661435842514,0.12110728770494461,0.1254940778017044,1207,1.1447877883911133,0.008062774315476418,1.142343282699585,1.1459587812423706,1.1492137908935547,1207,0.23518775403499603,0.05164797976613045,0.20308679342269897,0.23295418918132782,0.2654568552970886,1207,0.7235549092292786,0.01114871259778738,0.7194693088531494,0.7255624532699585,0.7302521467208862,1207,0.9618245363235474,0.010710100643336773,0.9590693116188049,0.9644995331764221,0.9685013294219971,1207,1.0162075757980347,0.004838073626160622,1.012894630432129,1.0157274007797241,1.0185177326202393,1207,0.16249333322048187,0.005614892579615116,0.15887677669525146,0.16239848732948303,0.16605119407176971,1207,0.7979809045791626,0.005277581047266722,0.7961477637290955,0.7985278964042664,0.8012650012969971,1207,723.2111206054688,0.22068636119365692,723.1451416015625,723.249267578125,723.3416748046875,1207
A5,2049,0.724146842956543,0.029261967167258263,0.6974701881408691,0.7211275100708008,0.7552368640899658,2049,2.776547908782959,0.7338953614234924,2.1935667991638184,2.375534772872925,3.7093653678894043,2049,-0.055231016129255295,0.02968924678862095,-0.07343247532844543,-0.05067583546042442,-0.033260516822338104,2049,0.11045635491609573,0.016623931005597115,0.09555357694625854,0.11528947949409485,0.12448932975530624,2049,1.1437119245529175,0.008595118299126625,1.138297438621521,1.1457663774490356,1.150366187095642,2049,0.18070067465305328,0.08733490109443665,0.082618348300457,0.1939041018486023,0.2394941747188568,2049,0.7340533137321472,0.02594766765832901,0.7118778824806213,0.7290053963661194,0.7629256248474121,2049,0.9552561640739441,0.011677206493914127,0.9484748840332031,0.954975426197052,0.9630579948425293,2049,1.0193413496017456,0.006593951489776373,1.0140721797943115,1.0185809135437012,1.0247231721878052,2049,0.14523108303546906,0.03476684167981148,0.10007937997579575,0.16326896846294403,0.17256803810596466,2049,0.8197116255760193,0.03710523620247841,0.7899196743965149,0.8001548647880554,0.8692312836647034,2049,724.55908203125,2.0174312591552734,723.0572509765625,723.2933349609375,727.2489013671875,2049
A6,3048,0.7685986757278442,0.0077690607868134975,0.7653973698616028,0.7697300910949707,0.7733653783798218,3048,3.8169829845428467,0.14089806377887726,3.7516028881073,3.833265781402588,3.907662868499756,3048,-0.06290140748023987,0.024963131174445152,-0.08021458238363266,-0.06266233325004578,-0.04537239298224449,3048,0.11171367019414902,0.006357650272548199,0.10783770680427551,0.1111348569393158,0.1156211644411087,3048,1.149520754814148,0.005245854612439871,1.1467902660369873,1.1496858596801758,1.1524651050567627,3048,0.11631608754396439,0.02645338885486126,0.09944701194763184,0.11465521156787872,0.13029439747333527,3048,0.7750239968299866,0.009489568881690502,0.7695821523666382,0.7743887305259705,0.780868411064148,3048,0.9624943137168884,0.007716408930718899,0.958768367767334,0.9637494087219238,0.9675657153129578,3048,1.0183053016662598,0.0036251673009246588,1.0160616636276245,1.018768548965454,1.0206005573272705,3048,0.11755453050136566,0.0074790725484490395,0.1128791868686676,0.1174241229891777,0.12215889245271683,3048,0.8668100237846375,0.004867070354521275,0.8641330599784851,0.8667972087860107,0.8698230385780334,3048,727.1500854492188,0.3134211599826813,726.999755859375,727.175537109375,727.3480834960938,3048
A7,3635,0.7484239935874939,0.009904207661747932,0.74288010597229,0.7478075623512268,0.7540537118911743,3635,3.5776000022888184,0.17295998334884644,3.460848093032837,3.570434093475342,3.6972599029541016,3635,-0.04566426947712898,0.018087103962898254,-0.0577235072851181,-0.045436713844537735,-0.03292769193649292,3635,0.14335773885250092,0.012965269386768341,0.1364942193031311,0.14537817239761353,0.1531863510608673,3635,1.1787060499191284,0.010391495190560818,1.1733084917068481,1.179931640625,1.1866698265075684,3635,0.08683213591575623,0.013499775901436806,0.07754290103912354,0.08648699522018433,0.09449189901351929,3635,0.7731562256813049,0.015284067951142788,0.7614970207214355,0.7733754515647888,0.7841333150863647,3635,0.939757764339447,0.00854058749973774,0.9350923299789429,0.9403885006904602,0.945166826248169,3635,1.017956018447876,0.006369159556925297,1.0133205652236938,1.017639398574829,1.0225989818572998,3635,0.12924674153327942,0.006684908643364906,0.12502464652061462,0.12937860190868378,0.13370248675346375,3635,0.863795280456543,0.00590912252664566,0.8598614931106567,0.864494264125824,0.8680592775344849,3635,727.1195068359375,0.45308321714401245,726.8013916015625,727.2401733398438,727.458251953125,3635
A8,987,0.7131365537643433,0.012345868162810802,0.7098698616027832,0.7150281071662903,0.7202637195587158,987,2.2745609283447266,0.09884075075387955,2.230675458908081,2.2928450107574463,2.342132091522217,987,-0.02974846586585045,0.020981237292289734,-0.04154175519943237,-0.028069010004401207,-0.015915721654891968,987,0.12106390297412872,0.007823344320058823,0.11874637752771378,0.12302293628454208,0.12570631504058838,987,1.1382436752319336,0.007270100060850382,1.1354756355285645,1.139993667602539,1.1430584192276,987,0.22756370902061462,0.04729447513818741,0.20099163055419922,0.22678640484809875,0.25454649329185486,987,0.7357372045516968,0.012326730415225029,0.7308413982391357,0.7372559905052185,0.7427946329116821,987,0.9612902402877808,0.012492595240473747,0.958834707736969,0.9632301926612854,0.9671081304550171,987,1.0061074495315552,0.006770006380975246,1.0027074813842773,1.005371332168579,1.0081932544708252,987,0.16678448021411896,0.010326850228011608,0.16259528696537018,0.1676984280347824,0.17329061031341553,987,0.7952068448066711,0.006396580953150988,0.7923679351806641,0.7959884405136108,0.7993187308311462,987,723.025146484375,0.25301215052604675,722.9025268554688,723.0570068359375,723.2010498046875,987
A9,3296,0.7276187539100647,0.008613614365458488,0.7228854894638062,0.7284609079360962,0.7336782217025757,3296,2.441824436187744,0.07684724777936935,2.401249408721924,2.4482946395874023,2.4970874786376953,3296,-0.024116136133670807,0.017224447801709175,-0.03509038686752319,-0.023063378408551216,-0.01289286371320486,3296,0.13344323635101318,0.0048700664192438126,0.1309954822063446,0.13343080878257751,0.13665208220481873,3296,1.1521145105361938,0.00572319095954299,1.1481281518936157,1.1522090435028076,1.1561198234558105,3296,0.2164306938648224,0.03651062399148941,0.19193583726882935,0.21298418939113617,0.2377137839794159,3296,0.7479768991470337,0.007916680537164211,0.7441632747650146,0.7486772537231445,0.7528820633888245,3296,0.9634290337562561,0.0073895021341741085,0.9598051309585571,0.9641290903091431,0.9680394530296326,3296,1.0070372819900513,0.004563743248581886,1.0042312145233154,1.0072126388549805,1.0098477602005005,3296,0.15944679081439972,0.007922166958451271,0.15360571444034576,0.1586587131023407,0.16502059996128082,3296,0.8068174123764038,0.004090247675776482,0.8048377633094788,0.8073240518569946,0.8093180060386658,3296,723.5172729492188,0.1801406443119049,723.4276123046875,723.5381469726562,723.6375732421875,3296
A10,1680,0.7349119782447815,0.029078572988510132,0.7303824424743652,0.7376246452331543,0.7505024671554565,1680,3.5441174507141113,0.4731499254703522,3.3218588829040527,3.4955711364746094,3.9079372882843018,1680,-0.08938981592655182,0.03988027200102806,-0.1131490021944046,-0.08317925035953522,-0.060879021883010864,1680,0.08507777750492096,0.012144729495048523,0.08036472648382187,0.08579032123088837,0.091707743704319,1680,1.1306233406066895,0.014070049859583378,1.1210119724273682,1.128421425819397,1.1432043313980103,1680,0.06421930342912674,0.014887900091707706,0.053592562675476074,0.063407763838768,0.0734938532114029,1680,0.7511719465255737,0.024941207841038704,0.7471079230308533,0.7554900646209717,0.762470543384552,1680,0.93865966796875,0.015880918130278587,0.9332848787307739,0.9399308562278748,0.9472654461860657,1680,1.0250581502914429,0.007488948758691549,1.020993709564209,1.0249629020690918,1.0288093090057373,1680,0.0908321961760521,0.02160976268351078,0.07376787066459656,0.08559266477823257,0.10448317229747772,1680,0.8627289533615112,0.02001623809337616,0.8577213883399963,0.8645969033241272,0.8746878504753113,1680,727.49853515625,1.526820421218872,726.503662109375,727.589599609375,728.792236328125,1680
