id_lote,Cab_CIre_ugcm2,Cab_NDRE_ugcm2,Cab_est_ugcm2,N_foliar_rel,H2O_foliar_rel,Efic_fotosint_rel,Biomasa_rel,Estres_car_rel,Cab_cls,N_cls,H2O_cls,Efic_cls,Bio_cls,Estres_cls
A1,39.202682161331175,25.452488350868226,32.3275852560997,43.1,76.6,27.7,95.3,81.5,MEDIO,MEDIO,ALTO,MEDIO,ALTO,MEDIO
A2,32.46041073799134,23.31739892959595,27.888904833793646,33.8,68.9,36.3,86.5,74.5,BAJO,MEDIO,MEDIO,MEDIO,MEDIO,BAJO
A3,51.70715367794037,25.623312592506405,38.66523313522339,67.7,71.9,44.8,85.9,76.5,ALTO,ALTO,MEDIO,ALTO,MEDIO,BAJO
A4,34.112353444099426,24.125785791873934,29.119069617986682,35.5,74.4,30.3,93.7,78.6,MEDIO,MEDIO,ALTO,MEDIO,ALTO,MEDIO
A5,42.30020756721496,24.655687522888183,33.47794754505157,50.4,73.9,43.7,90.0,76.1,MEDIO,MEDIO,ALTO,ALTO,ALTO,BAJO
A6,60.92399542331696,27.225003457069395,44.07449944019318,79.1,76.9,49.9,94.1,77.0,ALTO,ALTO,ALTO,ALTO,ALTO,BAJO
A7,56.63904004096984,26.058906829357145,41.348973435163494,78.8,92.4,36.1,81.3,77.2,ALTO,ALTO,ALTO,MEDIO,MEDIO,BAJO
A8,33.31464061737061,24.01929280757904,28.666966712474824,33.4,70.9,23.3,93.4,86.7,MEDIO,MEDIO,MEDIO,BAJO,ALTO,ALTO
A9,36.30865740776062,24.85636397600174,30.582510691881183,38.9,78.3,18.8,94.6,86.0,MEDIO,MEDIO,ALTO,BAJO,ALTO,ALTO
A10,56.039702367782596,25.277912342548372,40.658807355165486,83.0,66.9,71.1,80.7,71.5,ALTO,ALTO,MEDIO,ALTO,MEDIO,BAJO
A11,32.43687014579773,23.953052937984463,28.194961541891097,30.5,69.9,31.4,95.0,85.0,MEDIO,BAJO,MEDIO,MEDIO,ALTO,ALTO
A12,30.765219235420226,23.11135493516922,26.938287085294725,29.0,73.5,38.4,88.4,76.3,BAJO,BAJO,ALTO,ALTO,ALTO,BAJO
A13,31.233197331428528,22.823729825019836,27.028463578224184,30.7,70.2,31.4,80.2,76.6,BAJO,BAJO,MEDIO,MEDIO,MEDIO,BAJO
A14,33.777749276161195,24.304427075386048,29.041088175773623,32.3,64.2,27.3,91.7,86.9,MEDIO,BAJO,BAJO,BAJO,ALTO,ALTO
A15,30.259309887886047,23.027007365226748,26.6431586265564,27.9,70.8,19.7,90.9,89.6,BAJO,BAJO,MEDIO,BAJO,ALTO,ALTO
A16,28.497602128982543,21.93753083944321,25.217566484212874,27.1,64.4,15.4,77.2,91.4,BAJO,BAJO,BAJO,BAJO,BAJO,ALTO
A17,56.97643527984619,26.161999452114106,41.56921736598015,76.5,75.0,25.5,78.5,89.3,ALTO,ALTO,ALTO,BAJO,BAJO,ALTO
A18,42.97046575546264,22.39181845188141,32.68114210367202,55.5,61.4,36.6,59.1,83.6,MEDIO,MEDIO,BAJO,MEDIO,BAJO,MEDIO
A19,40.76802911758423,22.57833878993988,31.673183953762056,54.6,60.6,36.1,63.8,79.3,MEDIO,MEDIO,BAJO,MEDIO,BAJO,MEDIO
A20,48.64481112957,24.08389967679977,36.36435540318489,63.6,69.6,51.3,78.6,74.7,ALTO,ALTO,MEDIO,ALTO,MEDIO,BAJO
A21,61.83968007564544,26.89624327421188,44.36796167492866,84.0,70.5,35.9,86.4,82.9,ALTO,ALTO,MEDIO,MEDIO,MEDIO,MEDIO
A22,45.634414935112,22.989434576034544,34.31192475557327,60.4,51.8,53.5,80.0,79.2,MEDIO,ALTO,BAJO,ALTO,MEDIO,MEDIO
A23,73.1191445827484,28.405077052116393,50.7621108174324,100.0,87.2,43.8,94.2,80.7,ALTO,ALTO,ALTO,ALTO,ALTO,MEDIO
A24,32.702256608009336,23.680579590797425,28.19141809940338,33.4,68.0,38.3,87.9,76.1,MEDIO,MEDIO,MEDIO,ALTO,ALTO,BAJO
A25,33.097103524208066,23.734534060955045,28.415818792581554,34.7,67.3,42.4,87.1,72.8,MEDIO,MEDIO,MEDIO,ALTO,MEDIO,BAJO
A26,31.50626137256623,23.60778015851974,27.557020765542987,30.9,70.2,33.8,92.2,75.9,BAJO,BAJO,MEDIO,MEDIO,ALTO,BAJO
A27,29.25908224582671,22.59357668161392,25.926329463720315,28.2,67.7,40.9,84.4,71.0,BAJO,BAJO,MEDIO,ALTO,MEDIO,BAJO
A28,34.361053228378296,24.62602479457855,29.493539011478425,33.8,72.6,31.1,100.0,81.6,MEDIO,MEDIO,MEDIO,MEDIO,ALTO,MEDIO
A29,33.67763774394989,23.972666168212893,28.825151956081392,34.5,68.1,35.3,88.6,77.6,MEDIO,MEDIO,MEDIO,MEDIO,ALTO,MEDIO
A30,35.563612174987796,24.523004519939423,30.043308347463608,38.2,71.6,26.3,88.5,82.4,MEDIO,MEDIO,MEDIO,BAJO,ALTO,MEDIO
A31,61.41912031173705,26.660936188697814,44.04002825021743,83.6,82.9,31.4,82.2,83.4,ALTO,ALTO,ALTO,MEDIO,MEDIO,MEDIO
A32,54.36022877693176,25.08980379104614,39.72501628398895,76.8,76.4,34.3,70.8,80.5,ALTO,ALTO,ALTO,MEDIO,BAJO,MEDIO
A33,54.67074182033539,25.922089648246764,40.296415734291074,71.6,76.9,31.3,85.5,84.5,ALTO,ALTO,ALTO,MEDIO,MEDIO,MEDIO
A34,55.46437473297119,25.746807384490968,40.60559105873108,74.2,70.7,31.7,80.7,83.1,ALTO,ALTO,MEDIO,MEDIO,MEDIO,MEDIO
A35,23.99509898424148,20.668541407585142,22.33182019591331,15.5,63.9,38.3,88.2,78.5,BAJO,BAJO,BAJO,ALTO,ALTO,MEDIO
A36,23.530338728427886,20.284624397754666,21.907481563091274,15.6,63.3,43.7,82.6,74.6,BAJO,BAJO,BAJO,ALTO,MEDIO,BAJO
A37,33.519562411308286,23.79537193775177,28.657467174530026,35.9,76.6,30.1,90.0,81.9,MEDIO,MEDIO,ALTO,MEDIO,ALTO,MEDIO
A38,52.1994448184967,26.5486932516098,39.37406903505325,60.2,76.4,48.5,99.6,81.6,ALTO,ALTO,ALTO,ALTO,ALTO,MEDIO
A39,19.220754492282865,17.297263813018798,18.259009152650833,8.2,51.3,47.7,56.9,66.0,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO
A40,24.206825613975525,20.78564544916153,22.49623553156853,16.0,64.1,41.2,89.1,77.7,BAJO,BAJO,BAJO,ALTO,ALTO,MEDIO
A41,54.725965762138365,25.444878017902372,40.08542189002037,75.6,65.9,26.6,78.5,88.4,ALTO,ALTO,BAJO,BAJO,BAJO,ALTO
A42,28.279544377326964,21.92597925662994,25.10276181697845,27.0,64.9,17.4,76.8,91.3,BAJO,BAJO,BAJO,BAJO,BAJO,ALTO
A43,34.250387692451476,23.644674253463744,28.94753097295761,37.2,54.4,15.0,78.0,97.3,MEDIO,MEDIO,BAJO,BAJO,BAJO,ALTO
A44,39.717506718635555,24.798929905891416,32.25821831226349,47.1,59.7,12.6,79.0,98.9,MEDIO,MEDIO,BAJO,BAJO,MEDIO,ALTO
A45,63.75202884674072,26.791273045539857,45.27165094614029,90.2,87.0,17.8,74.4,93.6,ALTO,ALTO,ALTO,BAJO,BAJO,ALTO
A46,36.722393131256105,24.83638900518417,30.779391068220136,39.6,75.9,6.0,88.0,97.7,MEDIO,MEDIO,ALTO,BAJO,ALTO,ALTO
A47,30.12264983654022,22.816929101943966,26.469789469242095,30.0,68.3,9.4,80.7,96.4,BAJO,BAJO,MEDIO,BAJO,MEDIO,ALTO
A48,27.760085105895996,21.884075915813444,24.82208051085472,25.5,55.9,19.4,75.0,91.2,BAJO,BAJO,BAJO,BAJO,BAJO,ALTO
A49,28.46031103134156,22.11401546001434,25.287163245677952,27.0,61.5,14.4,75.3,92.7,BAJO,BAJO,BAJO,BAJO,BAJO,ALTO
A50,41.5172012090683,25.628893733024594,33.57304747104644,50.3,66.3,5.1,81.8,98.3,MEDIO,MEDIO,MEDIO,BAJO,MEDIO,ALTO
A51,43.49711608886719,26.216095173358912,34.85660563111305,52.8,71.5,-0.0,86.9,100.0,ALTO,MEDIO,MEDIO,BAJO,MEDIO,ALTO
A52,44.50253324508667,24.868897426128388,34.685715335607526,56.4,67.3,13.0,73.5,97.1,MEDIO,MEDIO,MEDIO,BAJO,BAJO,ALTO
A53,57.05222523212432,25.44570829868317,41.24896676540374,85.3,75.7,31.5,70.1,82.4,ALTO,ALTO,ALTO,MEDIO,BAJO,MEDIO
A54,34.94785668849945,23.792536580562594,29.37019663453102,39.9,71.7,13.1,74.8,89.4,MEDIO,MEDIO,MEDIO,BAJO,BAJO,ALTO
A55,65.57973647117613,27.4227446436882,46.50124055743217,92.2,90.1,45.4,86.8,76.3,ALTO,ALTO,ALTO,ALTO,MEDIO,BAJO
A56,66.92301831245422,27.366106402873992,47.14456235766411,97.9,100.0,33.1,85.3,80.3,ALTO,ALTO,ALTO,MEDIO,MEDIO,MEDIO
A57,52.98598909378052,25.847512519359586,39.41675080657005,67.8,59.9,33.0,86.4,84.1,ALTO,ALTO,BAJO,MEDIO,MEDIO,MEDIO
A58,57.877106189727776,25.75345652103424,41.81528135538101,82.6,82.9,34.7,73.8,84.3,ALTO,ALTO,ALTO,MEDIO,BAJO,MEDIO
A59,28.749361848831178,19.255055558681487,24.00220870375633,29.9,51.7,53.1,44.4,46.7,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO
A60,28.879035687446596,22.61107803583145,25.74505686163902,25.6,62.9,37.7,88.8,77.2,BAJO,BAJO,BAJO,ALTO,ALTO,BAJO
A61,13.85167289972305,10.45979478359222,12.155733841657636,0.0,46.7,100.0,0.0,0.0,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO
A62,21.219457888603202,14.899647188186645,18.059552538394925,20.8,57.5,92.9,27.1,18.9,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO
A63,30.244061422348018,22.394977653026583,26.3195195376873,32.4,72.9,35.9,76.1,75.5,BAJO,MEDIO,ALTO,MEDIO,BAJO,BAJO
A64,61.913007569313045,27.01154550313949,44.46227653622627,81.5,85.5,23.4,84.2,87.9,ALTO,ALTO,ALTO,BAJO,MEDIO,ALTO
A65,14.328860676288604,11.465738517045974,12.897299596667288,4.5,0.0,93.1,26.8,43.6,BAJO,BAJO,BAJO,ALTO,BAJO,BAJO
A66,30.391531538963307,22.29827233552933,26.34490193724632,31.7,66.3,18.4,75.0,92.7,BAJO,BAJO,MEDIO,BAJO,BAJO,ALTO
