,PC1,PC2,PC3,Cab_est_ugcm2,N_foliar_rel,H2O_foliar_rel,Efic_fotosint_rel,Biomasa_rel,Estres_car_rel,cluster,cluster_name
A1,1.2782096,-11.557004,-5.145667,32.3275852560997,43.1,76.6,27.7,95.3,81.5,0,Zona A
A2,13.730268,-1.1592656,-6.6283717,27.88890483379365,33.8,68.9,36.3,86.5,74.5,0,Zona A
A3,-12.257904,-0.3643051,-4.571077,38.66523313522339,67.7,71.9,44.8,85.9,76.5,0,Zona A
A4,9.653501,-7.408506,-6.788087,29.11906961798668,35.5,74.4,30.3,93.7,78.6,0,Zona A
A5,-2.676143,-3.376221,-6.0775576,33.47794754505157,50.4,73.9,43.7,90.0,76.1,0,Zona A
A6,-19.428392,-3.1273363,-6.9798985,44.07449944019318,79.1,76.9,49.9,94.1,77.0,0,Zona A
A7,-17.556538,-2.345502,0.17203116,41.34897343516349,78.8,92.4,36.1,81.3,77.2,0,Zona A
A8,4.99591,-9.066284,-1.3983624,28.666966712474824,33.4,70.9,23.3,93.4,86.7,0,Zona A
A9,6.0690823,-13.13046,-1.8537569,30.582510691881183,38.9,78.3,18.8,94.6,86.0,0,Zona A
A10,-30.061617,8.119189,-5.6921244,40.658807355165486,83.0,66.9,71.1,80.7,71.5,0,Zona A
A11,2.4885874,-8.5712,-3.788671,28.194961541891097,30.5,69.9,31.4,95.0,85.0,0,Zona A
A12,0.5013669,-6.0957894,-4.5514965,26.938287085294725,29.0,73.5,38.4,88.4,76.3,0,Zona A
A13,4.902275,-2.7480154,-0.30893484,27.028463578224184,30.7,70.2,31.4,80.2,76.6,0,Zona A
A14,-3.5014338,-6.0891604,-1.78735,29.041088175773623,32.3,64.2,27.3,91.7,86.9,0,Zona A
A15,4.586276,-7.104752,1.1318489,26.6431586265564,27.9,70.8,19.7,90.9,89.6,0,Zona A
A16,6.8845353,0.038437996,6.7395763,25.217566484212877,27.1,64.4,15.4,77.2,91.4,0,Zona A
A17,-17.930433,1.2833235,3.7703617,41.56921736598015,76.5,75.0,25.5,78.5,89.3,0,Zona A
A18,-10.396841,11.528236,5.8408237,32.68114210367202,55.5,61.4,36.6,59.1,83.6,0,Zona A
A19,-12.421091,10.362451,2.7898326,31.673183953762056,54.6,60.6,36.1,63.8,79.3,0,Zona A
A20,-19.512842,3.9445376,-2.7753234,36.36435540318489,63.6,69.6,51.3,78.6,74.7,0,Zona A
A21,-21.699333,0.95089203,-2.233371,44.36796167492866,84.0,70.5,35.9,86.4,82.9,0,Zona A
A22,-25.955715,6.106614,-2.7369757,34.31192475557327,60.4,51.8,53.5,80.0,79.2,0,Zona A
A23,-27.996359,-2.5321434,-5.107841,50.7621108174324,100.0,87.2,43.8,94.2,80.7,0,Zona A
A24,14.95761,-2.2075899,-6.881251,28.19141809940338,33.4,68.0,38.3,87.9,76.1,0,Zona A
A25,19.802483,-1.7678746,-8.509452,28.415818792581558,34.7,67.3,42.4,87.1,72.8,0,Zona A
A26,19.427488,-6.02522,-8.266306,27.557020765542987,30.9,70.2,33.8,92.2,75.9,0,Zona A
A27,22.716463,-0.8669644,-8.049522,25.926329463720315,28.2,67.7,40.9,84.4,71.0,0,Zona A
A28,10.480648,-12.639664,-7.349687,29.493539011478425,33.8,72.6,31.1,100.0,81.6,0,Zona A
A29,10.744125,-3.4455628,-5.8205514,28.825151956081392,34.5,68.1,35.3,88.6,77.6,0,Zona A
A30,9.168945,-6.8104258,-1.9395285,30.043308347463608,38.2,71.6,26.3,88.5,82.4,0,Zona A
A31,-21.807785,-1.5243356,1.3060892,44.04002825021743,83.6,82.9,31.4,82.2,83.4,0,Zona A
A32,-16.749918,3.586822,4.036155,39.72501628398895,76.8,76.4,34.3,70.8,80.5,0,Zona A
A33,-11.205213,-2.5467865,0.24562158,40.296415734291074,71.6,76.9,31.3,85.5,84.5,0,Zona A
A34,-15.172572,0.016589796,0.8973401,40.60559105873108,74.2,70.7,31.7,80.7,83.1,0,Zona A
A35,17.424847,-1.008183,-4.9465356,22.33182019591331,15.5,63.9,38.3,88.2,78.5,0,Zona A
A36,19.071009,1.674381,-4.4182034,21.907481563091277,15.6,63.3,43.7,82.6,74.6,0,Zona A
A37,5.3396497,-7.136689,-2.9439788,28.657467174530023,35.9,76.6,30.1,90.0,81.9,0,Zona A
A38,-10.806242,-6.9400826,-8.1251545,39.37406903505325,60.2,76.4,48.5,99.6,81.6,0,Zona A
A39,22.636276,16.632088,1.3761234,18.259009152650837,8.2,51.3,47.7,56.9,66.0,1,Zona B
A40,17.036066,-1.437805,-5.897681,22.49623553156853,16.0,64.1,41.2,89.1,77.7,0,Zona A
A41,-18.454906,1.1606905,2.9402814,40.08542189002037,75.6,65.9,26.6,78.5,88.4,0,Zona A
A42,18.848303,-1.4576024,8.325401,25.10276181697845,27.0,64.9,17.4,76.8,91.3,0,Zona A
A43,0.42312136,-3.6545677,8.997773,28.94753097295761,37.2,54.4,15.0,78.0,97.3,0,Zona A
A44,-3.0384157,-4.95062,9.677843,32.25821831226349,47.1,59.7,12.6,79.0,98.9,0,Zona A
A45,-21.360474,0.50993615,8.08079,45.27165094614029,90.2,87.0,17.8,74.4,93.6,0,Zona A
A46,3.6880598,-11.843376,8.609383,30.779391068220136,39.6,75.9,6.0,88.0,97.7,0,Zona A
A47,15.286469,-4.380153,10.030622,26.46978946924209,30.0,68.3,9.4,80.7,96.4,0,Zona A
A48,21.315918,5.3342996,6.2537265,24.82208051085472,25.5,55.9,19.4,75.0,91.2,0,Zona A
A49,21.053284,1.4283776,8.9389925,25.287163245677952,27.0,61.5,14.4,75.3,92.7,0,Zona A
A50,12.578606,-5.159312,9.913233,33.57304747104644,50.3,66.3,5.1,81.8,98.3,0,Zona A
A51,10.713187,-9.714539,9.874215,34.85660563111305,52.8,71.5,-0.0,86.9,100.0,0,Zona A
A52,-0.18787351,-0.102978416,11.154771,34.685715335607526,56.4,67.3,13.0,73.5,97.1,0,Zona A
A53,-20.306623,4.4155416,2.859537,41.24896676540374,85.3,75.7,31.5,70.1,82.4,0,Zona A
A54,9.570962,-5.1690226,9.141313,29.37019663453102,39.9,71.7,13.1,74.8,89.4,0,Zona A
A55,-16.308252,-4.875437,-2.8194687,46.50124055743217,92.2,90.1,45.4,86.8,76.3,0,Zona A
A56,-15.963079,-6.592291,0.9620667,47.14456235766411,97.9,100.0,33.1,85.3,80.3,0,Zona A
A57,-16.218557,-0.7433948,-0.9750334,39.41675080657005,67.8,59.9,33.0,86.4,84.1,0,Zona A
A58,-20.63885,4.163991,2.2631128,41.81528135538101,82.6,82.9,34.7,73.8,84.3,0,Zona A
A59,21.327955,29.181864,-5.156737,24.00220870375633,29.9,51.7,53.1,44.4,46.7,1,Zona B
A60,19.725447,-2.9077945,-5.896927,25.74505686163902,25.6,62.9,37.7,88.8,77.2,0,Zona A
A61,16.078892,36.09836,2.1296527,12.155733841657636,0.0,46.7,100.0,0.0,0.0,1,Zona B
A62,12.139551,26.219774,-0.88588125,18.059552538394925,20.8,57.5,92.9,27.1,18.9,1,Zona B
A63,18.979418,1.3842057,0.19549842,26.3195195376873,32.4,72.9,35.9,76.1,75.5,0,Zona A
A64,-16.622377,-2.4280431,2.7173,44.46227653622627,81.5,85.5,23.4,84.2,87.9,0,Zona A
A65,-13.141202,30.622946,-5.7082367,12.897299596667288,4.5,0.0,93.1,26.8,43.6,1,Zona B
A66,13.752256,-1.7512804,11.643693,26.34490193724632,31.7,66.3,18.4,75.0,92.7,0,Zona A
