id_lote,Cab_CIre_ugcm2,Cab_NDRE_ugcm2,Cab_est_ugcm2,N_foliar_rel,H2O_foliar_rel,Efic_fotosint_rel,Biomasa_rel,Estres_car_rel,Cab_cls,N_cls,H2O_cls,Efic_cls,Bio_cls,Estres_cls,PC1,PC2,PC3,PC4,PC5,n_px,NDRE_cv,WBI_cv,REIP_cv,hetero_score,REIP_range,re_slope_max,re_slope_wl_nm,uncertainty_score,subzone_critica_pct,score_mean,anomaly_score,anomaly_class,anomaly_flags
A1,39.202682161331175,25.452488350868222,32.3275852560997,43.1,76.6,27.7,95.3,81.5,MEDIO,MEDIO,ALTO,MEDIO,ALTO,MEDIO,1.2782096,-11.557004,-5.145667,1.6563468,1.455004,2125,3.72,1.16,0.07,1.65,1.25,0.013003617764471079,725.96,0.0015444634133018552,12.94,0.6144,0.7706990462421756,NORMAL,sin_alerta_mayor
A2,32.46041073799134,23.31739892959595,27.88890483379365,33.8,68.9,36.3,86.5,74.5,BAJO,MEDIO,MEDIO,MEDIO,MEDIO,BAJO,13.730268,-1.1592656,-6.6283717,0.033769708,0.9175185,1026,2.7,1.05,0.06,1.27,0.9,0.012528718562874273,725.96,0.0016125151450978592,68.71,0.457,0.502514556503614,NORMAL,sin_alerta_mayor
A3,51.70715367794037,25.623312592506405,38.66523313522339,67.7,71.9,44.8,85.9,76.5,ALTO,ALTO,MEDIO,ALTO,MEDIO,BAJO,-12.257904,-0.3643051,-4.571077,0.3883761,0.0040901173,3291,3.83,1.03,0.28,1.71,4.76,0.009728493013972075,730.97,0.0013015563007987415,3.34,0.7042,1.7497566970357927,ATIPICO,sin_alerta_mayor
A4,34.112353444099426,24.12578579187393,29.11906961798668,35.5,74.4,30.3,93.7,78.6,MEDIO,MEDIO,ALTO,MEDIO,ALTO,MEDIO,9.653501,-7.408506,-6.788087,1.6672854,0.17461754,1207,1.68,0.7,0.03,0.8,0.44,0.013170861277445128,725.96,0.0016145505690171073,13.67,0.5198,0.6728037955860597,NORMAL,sin_alerta_mayor
A5,42.30020756721496,24.655687522888183,33.47794754505157,50.4,73.9,43.7,90.0,76.1,MEDIO,MEDIO,ALTO,ALTO,ALTO,BAJO,-2.676143,-3.376221,-6.0775576,1.4877195,-0.44725725,2049,4.04,0.75,0.28,1.69,4.65,0.011073365269461101,725.96,0.0014457084364645802,28.79,0.6014,1.6162313077470318,ATIPICO,sin_alerta_mayor
A6,60.92399542331696,27.225003457069395,44.07449944019318,79.1,76.9,49.9,94.1,77.0,ALTO,ALTO,ALTO,ALTO,ALTO,BAJO,-19.428392,-3.1273363,-6.9798985,0.7036872,-0.8218631,3048,1.01,0.46,0.04,0.5,0.74,0.009930610522004949,735.98,0.0012389946117764338,0.0,0.837,1.1308412651382367,NORMAL,funcion_alta
A7,56.63904004096984,26.058906829357145,41.34897343516349,78.8,92.4,36.1,81.3,77.2,ALTO,ALTO,ALTO,MEDIO,MEDIO,BAJO,-17.556538,-2.345502,0.17203116,5.006969,-0.81536597,3635,1.32,0.88,0.06,0.76,1.13,0.010543815578876226,735.98,0.001267407863633707,0.0,0.8494,1.105963193677294,NORMAL,sin_alerta_mayor
A8,33.31464061737061,24.01929280757904,28.666966712474824,33.4,70.9,23.3,93.4,86.7,MEDIO,MEDIO,MEDIO,BAJO,ALTO,ALTO,4.99591,-9.066284,-1.3983624,-0.035487838,-0.07444248,987,1.73,0.64,0.03,0.8,0.6,0.012882285429141743,725.96,0.001558032141959605,31.61,0.4921,0.647114658100189,NORMAL,sin_alerta_mayor
A9,36.30865740776062,24.85636397600174,30.582510691881183,38.9,78.3,18.8,94.6,86.0,MEDIO,MEDIO,ALTO,BAJO,ALTO,ALTO,6.0690823,-13.13046,-1.8537569,1.4668416,-0.062921695,3296,1.18,0.5,0.02,0.57,0.43,0.013723133732534955,725.96,0.0016140464906735966,1.49,0.5795,0.9590201585327306,NORMAL,sin_alerta_mayor
A10,56.0397023677826,25.27791234254837,40.658807355165486,83.0,66.9,71.1,80.7,71.5,ALTO,ALTO,MEDIO,ALTO,MEDIO,BAJO,-30.061617,8.119189,-5.6921244,-2.637185,0.5547896,1680,3.96,1.24,0.21,1.8,3.17,0.006911698699807185,735.98,0.0010326340416213498,4.64,0.7279,1.7830676506582985,ATIPICO,funcion_alta
A11,32.43687014579773,23.953052937984463,28.194961541891097,30.5,69.9,31.4,95.0,85.0,MEDIO,BAJO,MEDIO,MEDIO,ALTO,ALTO,2.4885874,-8.5712,-3.788671,-0.5310441,0.60618794,1252,2.8,1.44,0.07,1.44,1.38,0.012659950099800425,725.96,0.001534308269037865,53.67,0.4724,0.6212888014695864,NORMAL,sin_alerta_mayor
