id_lote,subzone_critica_pct,subzone_transicion_pct,subzone_alta_pct,score_mean,score_std,dominant_subzone
A1,12.94,87.06,0.0,0.6144,0.1036,Transicion
A2,68.71,31.29,0.0,0.457,0.087,Critica
A3,3.34,44.76,51.9,0.7042,0.1508,Alta
A4,13.67,86.33,0.0,0.5198,0.0529,Transicion
A5,28.79,41.92,29.28,0.6014,0.1456,Transicion
A6,0.0,1.87,98.13,0.837,0.0382,Alta
A7,0.0,3.74,96.26,0.8494,0.0527,Alta
A8,31.61,68.39,0.0,0.4921,0.0497,Transicion
A9,1.49,98.51,0.0,0.5795,0.037,Transicion
A10,4.64,47.8,47.56,0.7279,0.1461,Transicion
A11,53.67,46.33,0.0,0.4724,0.1044,Critica
A12,48.52,51.48,0.0,0.4486,0.1001,Transicion
A13,45.96,54.04,0.0,0.4505,0.138,Transicion
A14,46.43,53.57,0.0,0.4716,0.082,Transicion
A15,98.31,1.69,0.0,0.4294,0.0532,Critica
A16,100.0,0.0,0.0,0.3557,0.0707,Critica
A17,0.0,32.99,67.01,0.776,0.0881,Alta
A18,33.95,45.37,20.68,0.5077,0.2676,Transicion
A19,36.38,63.62,0.0,0.4845,0.1216,Transicion
A20,20.1,30.52,49.37,0.645,0.2761,Alta
A21,0.97,8.83,90.19,0.8175,0.0763,Alta
A22,32.73,29.19,38.08,0.5264,0.3174,Alta
A23,0.0,0.09,99.91,0.9695,0.0208,Alta
A24,54.21,45.79,0.0,0.4659,0.0657,Critica
A25,46.78,53.22,0.0,0.4705,0.0703,Transicion
A26,65.32,34.68,0.0,0.4623,0.0422,Critica
A27,99.84,0.16,0.0,0.4002,0.0568,Critica
A28,9.14,90.86,0.0,0.5247,0.0384,Transicion
A29,36.7,63.3,0.0,0.4826,0.1196,Transicion
A30,15.67,84.33,0.0,0.5374,0.0918,Transicion
A31,0.0,3.18,96.82,0.8447,0.07,Alta
A32,3.1,32.67,64.23,0.7437,0.117,Alta
A33,18.5,17.66,63.85,0.7523,0.2111,Alta
A34,8.3,31.89,59.82,0.7394,0.191,Alta
A35,100.0,0.0,0.0,0.2571,0.0639,Critica
A36,100.0,0.0,0.0,0.2427,0.0851,Critica
A37,17.98,82.02,0.0,0.5175,0.0602,Transicion
A38,14.64,46.04,39.32,0.6947,0.2305,Transicion
A39,100.0,0.0,0.0,0.1059,0.109,Critica
A40,100.0,0.0,0.0,0.2629,0.061,Critica
A41,4.39,49.58,46.03,0.7086,0.134,Transicion
A42,100.0,0.0,0.0,0.3599,0.0864,Critica
A43,91.86,8.14,0.0,0.4227,0.0442,Critica
A44,43.83,55.68,0.5,0.5329,0.0966,Transicion
A45,1.73,3.06,95.21,0.9027,0.1132,Alta
A46,4.69,95.31,0.0,0.5719,0.0606,Transicion
A47,99.54,0.46,0.0,0.4189,0.0375,Critica
A48,100.0,0.0,0.0,0.3104,0.0519,Critica
A49,99.75,0.25,0.0,0.3497,0.0689,Critica
A50,3.9,96.1,0.0,0.6071,0.068,Transicion
A51,1.04,98.96,0.0,0.6633,0.0413,Transicion
A52,12.98,65.86,21.16,0.6088,0.1457,Transicion
A53,0.24,17.38,82.38,0.7876,0.0508,Alta
A54,12.8,87.2,0.0,0.5136,0.0309,Transicion
A55,0.24,1.71,98.05,0.9517,0.0625,Alta
A56,0.49,1.23,98.27,0.9748,0.068,Alta
A57,7.45,91.06,1.49,0.6652,0.1132,Transicion
A58,0.22,25.06,74.72,0.8169,0.1179,Alta
A59,98.5,1.5,0.0,0.2246,0.1382,Critica
A60,100.0,0.0,0.0,0.3694,0.053,Critica
A61,100.0,0.0,0.0,0.0087,0.0134,Critica
A62,100.0,0.0,0.0,0.0927,0.0614,Critica
A63,88.17,11.83,0.0,0.432,0.0544,Critica
A64,1.66,24.81,73.53,0.8455,0.1499,Alta
A65,100.0,0.0,0.0,0.0004,0.0046,Critica
A66,86.21,13.74,0.05,0.4009,0.1069,Critica
